user_id,phone_number,joined_date,last_login,is_active,is_admin
1,254-496-5771x538,2022-07-27T14:46:03.463148,2024/05/05 21:36:42,false,false
2,(455)306-2546,2023-04-08T01:01:29.593563,2024/01/22 16:56:58,FALSE,true
3,(540)504-9972x671,2020-10-13T13:55:32.696237,2024/02/18 00:37:33,TRUE,true
4,+1-290-354-9980,2023-02-08T14:28:23.756919,2024/08/29 08:54:52,FALSE,false
5,839.896.6823x07484,2020-04-01T12:50:29.307230,2024/03/21 12:52:05,false,false
6,560.479.7936,2024-02-23T00:47:17.395535,2024/10/01 02:49:15,true,false
7,(275)438-3716x101,2021-09-01T00:26:33.299535,2024/10/18 04:49:45,FALSE,true
8,5873016872,2024-09-24T01:57:32.194105,2024/01/03 03:18:08,TRUE,TRUE
9,001-395-831-7402,2020-06-05T12:39:19.200152,2024/04/24 17:47:54,true,TRUE
10,730.631.8987,2022-06-28T12:59:22.743016,2024/04/20 12:03:50,false,FALSE
11,710.342.1883,2023-05-23T06:13:07.119888,2024/09/05 02:53:16,TRUE,TRUE
12,385.954.4041x36813,2023-11-20T00:07:35.492589,2024/04/03 09:01:29,false,FALSE
13,423-894-5273x83509,2023-06-25T23:42:47.845515,2024/07/21 00:12:22,false,true
14,001-528-675-1812x140,2020-08-29T04:42:55.169664,2024/06/15 03:06:14,true,true
15,(271)366-8331,2020-02-29T18:43:24.879678,2024/03/14 07:52:29,true,true
16,(814)408-9347,2022-03-08T06:05:33.677413,2024/04/09 15:13:06,FALSE,FALSE
17,414-691-2706x4203,2022-04-19T18:06:08.796811,2024/11/04 05:16:00,false,false
18,296.710.4354,2020-08-05T16:29:47.110745,2024/01/06 18:26:19,FALSE,FALSE
19,412.211.7734x158,2022-03-14T02:24:28.188560,2024/10/18 17:39:39,true,false
20,252.558.4917,2022-03-23T10:14:17.069478,2024/04/25 21:02:11,false,FALSE
21,878.727.0858x404,2020-06-20T07:12:21.960556,2024/01/11 20:07:18,TRUE,FALSE
22,603.260.0115x23546,2024-09-27T20:18:45.304152,2024/04/05 13:16:46,TRUE,FALSE
23,548-506-3343,2020-09-29T19:21:08.869835,2024/05/08 19:15:32,FALSE,TRUE
24,001-606-718-3738x71532,2021-11-13T12:10:46.577301,2024/06/30 18:36:05,false,true
25,894.406.8228,2022-06-14T20:22:45.183443,2024/06/18 07:27:27,FALSE,false
26,001-403-845-2082x780,2021-07-21T09:48:25.640357,2024/06/21 09:54:21,FALSE,false
27,001-741-313-5785,2020-08-30T09:05:31.914127,2024/04/24 23:05:27,FALSE,true
28,670.419.8327x65247,2021-05-31T10:13:11.150676,2024/09/07 08:04:56,false,true
29,001-229-433-1966x71143,2021-12-10T23:08:13.111539,2024/06/26 21:35:58,false,false
30,(435)265-8912,2024-01-16T05:19:26.253176,2024/09/15 15:42:04,false,TRUE
31,+1-836-670-4892x39837,2024-03-21T20:14:04.275466,2024/03/28 00:03:36,FALSE,true
32,+1-910-670-0546x76859,2023-09-15T20:51:00.466105,2024/07/16 07:41:48,FALSE,FALSE
33,410.942.2157x40927,2022-05-12T06:48:57.635827,2024/07/18 20:47:31,TRUE,true
34,316-368-1908x6553,2020-03-12T10:12:15.636410,2024/11/05 01:08:25,TRUE,false
35,789-539-7731,2023-06-17T05:26:23.980020,2024/09/08 09:46:03,FALSE,false
36,+1-987-374-0005,2024-01-19T14:57:39.865536,2024/07/02 22:07:55,false,true
37,754.214.6442,2024-10-10T11:07:20.966723,2024/11/01 10:23:19,false,false
38,7276402960,2022-08-18T10:37:41.303017,2024/03/26 14:56:35,TRUE,false
39,+1-726-443-0630,2023-06-02T13:35:58.730234,2024/06/07 05:22:23,false,TRUE
40,(231)765-5128x33908,2023-08-23T19:23:29.440009,2024/11/08 05:09:51,TRUE,FALSE
41,(280)644-1080x613,2021-08-17T10:28:07.764582,2024/03/09 01:04:15,true,true
42,+1-883-609-0958x34364,2021-07-29T03:14:08.549759,2024/06/26 03:09:21,true,FALSE
43,001-296-870-4665x7715,2022-11-12T02:09:13.803282,2024/10/17 18:17:02,false,true
44,674-375-8948x8393,2022-04-26T02:31:37.134461,2024/02/05 18:07:37,TRUE,TRUE
45,(571)940-7580,2023-04-07T08:10:42.645255,2024/01/21 15:40:26,FALSE,FALSE
46,(966)770-5047x2128,2022-04-17T13:46:36.999676,2024/09/09 17:46:21,false,FALSE
47,441-496-8025,2022-06-25T19:35:59.036366,2024/04/08 06:15:00,false,true
48,001-553-629-4582x5480,2020-06-08T08:34:53.339759,2024/05/15 14:26:46,true,false
49,682-987-1298x3795,2022-10-21T13:10:14.285474,2024/11/20 16:05:28,true,false
50,(477)608-2603,2020-09-18T01:18:17.906096,2024/08/08 05:35:51,true,false
51,(531)832-7187,2021-05-19T17:48:07.903198,2024/01/03 08:02:32,true,true
52,(773)812-0352x5776,2021-01-06T04:31:55.678772,2024/02/20 09:43:53,FALSE,true
53,(233)838-0713x52349,2024-04-10T01:07:56.162206,2024/08/19 21:43:04,FALSE,true
54,519-735-4042,2022-02-11T02:45:55.658660,2024/07/22 11:59:43,TRUE,FALSE
55,001-628-263-6878,2021-11-01T18:18:43.772893,2024/05/30 13:46:40,FALSE,TRUE
56,001-538-829-3424,2024-01-22T06:33:12.009318,2024/03/06 15:44:52,FALSE,true
57,001-420-840-6823x227,2021-10-25T01:40:09.651925,2024/07/21 15:07:05,true,false
58,001-992-314-6967x000,2024-02-24T22:37:55.176489,2024/11/08 22:17:02,TRUE,true
59,(403)887-8889x816,2023-05-22T12:13:06.554306,2024/07/03 05:32:33,TRUE,FALSE
60,486-934-4034x166,2023-05-11T18:20:34.878980,2024/01/14 11:17:46,TRUE,true
61,839.879.1315,2021-04-13T10:30:14.323454,2024/01/07 02:21:09,TRUE,false
62,001-641-835-6160x13203,2020-08-16T19:14:00.546716,2024/11/09 03:00:05,false,false
63,667-736-1722,2024-04-20T14:41:23.811019,2024/07/25 11:02:26,true,false
64,206.696.9806x55197,2020-01-16T18:47:29.890139,2024/07/19 18:54:15,TRUE,true
65,778.469.6601x805,2023-11-02T18:44:21.651648,2024/09/29 23:57:50,true,false
66,286-829-3658x6648,2020-01-09T17:09:21.246385,2024/07/31 19:59:23,false,TRUE
67,+1-565-768-9859x706,2022-09-29T07:06:20.460902,2024/07/08 17:26:01,false,TRUE
68,+1-818-998-5279x82359,2021-01-09T16:39:41.118188,2024/06/06 18:20:16,true,false
69,218.814.9670x2933,2020-12-02T09:30:16.630384,2024/07/26 23:27:22,TRUE,FALSE
70,+1-814-425-2053x224,2023-10-14T21:45:08.968288,2024/05/22 08:49:54,true,FALSE
71,(692)934-4094,2024-05-14T21:39:30.934982,2024/03/25 07:56:18,TRUE,false
72,+1-577-629-5939x4242,2024-09-16T15:35:04.564094,2024/11/19 15:08:50,true,TRUE
73,(418)826-9563x2536,2020-12-15T18:57:15.148510,2024/10/30 05:26:03,true,true
74,506-216-1284x30075,2021-09-04T09:37:43.714292,2024/05/03 21:49:34,FALSE,true
75,+1-916-850-7307x893,2022-02-27T19:51:06.368579,2024/04/26 18:57:19,FALSE,false
76,395.599.9290,2021-02-04T02:14:53.449735,2024/02/04 14:02:41,TRUE,true
77,342-599-7257,2020-04-15T10:29:11.024853,2024/08/19 09:28:32,false,false
78,(902)286-2962x5121,2024-02-14T10:39:46.552777,2024/04/05 12:50:13,true,true
79,(914)545-0846,2024-03-13T00:40:24.841727,2024/06/25 02:28:13,false,false
80,271-911-3896x37882,2024-05-18T00:50:36.055973,2024/02/10 19:30:08,true,TRUE
81,(202)932-9744,2023-05-14T01:26:52.787961,2024/01/12 13:55:43,FALSE,TRUE
82,+1-885-416-5269x68897,2023-03-19T05:15:12.752769,2024/03/23 00:32:01,FALSE,TRUE
83,(982)676-8750x3137,2022-03-18T07:33:25.884505,2024/07/12 19:34:51,FALSE,false
